"AveExpr"	"LogFC_MouseC2C12"	"FDR_MouseC2C12"	"LogFC_HumanCell"	"FDR_HumanCell"	"LogFC_mean"
"AC111885.1"	3.09754053582788	5.31866562305881	7.80223043077674e-45	3.91478094738563	4.92715876129029e-43	9.23344657044444
"EIF3H"	3.09023936981791	3.42003729193126	1.10733133453979e-09	1.0910943884266	0.0100714207766409	4.51113168035786
"NDUFB4"	3.07546158159589	3.07369263570515	3.83428795712178e-23	2.28949682085334	1.04524948123731e-20	5.36318945655849
"PCNA-PS2"	3.07085191111308	1.10648648864027	0.000133132617879604	3.53078191024244	3.1270212650751e-26	4.63726839888271
"SURF4"	3.06967409197063	-1.41453400309242	2.77721601271683e-11	-1.44879142228435	1.14906272824593e-13	-2.86332542537677
"LAMP1"	3.06484957379818	-4.6546073956678	5.21862076673101e-42	-2.11804955372202	2.02369796070474e-22	-6.77265694938981
"PCNA"	3.0559815358524	1.24974643217102	4.82646972258915e-06	3.53078191024244	6.19698345406012e-27	4.78052834241346
"D8ERTD738E"	3.05512673942632	-1.74133477597462	7.16376520539859e-27	-2.05939694453543	1.10240782792775e-38	-3.80073172051005
"SSR4"	3.03835810401583	2.81342825365713	6.23310127818242e-10	1.70384457839264	6.11244820155505e-07	4.51727283204977
"AK3"	3.03205068234631	3.22910596890955	9.24893843000551e-24	1.62352144631644	9.7899854036625e-12	4.85262741522599
"SUB1"	3.02896979606673	4.20776636776202	1.51711854347731e-27	2.4075057829321	7.07965945767771e-16	6.61527215069412
"NEXN"	3.02713700255068	-1.42638355408396	5.15612123160152e-09	-2.24530553886516	8.70997855533255e-22	-3.67168909294913
"AABR07034273.1"	3.02699920379134	-1.43825222705437	6.48787249436176e-07	-1.7879372998162	7.74383585960908e-13	-3.22618952687058
"MAN2B2"	3.01841035600104	5.13327491603591	1.73335794489234e-31	3.72939024036273	1.76791100833658e-29	8.86266515639864
"AABR07029054.1"	3.01106386661189	-2.5046025169173	0.000681015629772118	-2.96255830195575	4.65834170495352e-05	-5.46716081887305
"MYH9"	3.00003838742025	-1.67664944649468	7.87957026134124e-10	-1.97349692023646	2.12124885379259e-14	-3.65014636673114
"MYH9L1"	3.00003838742025	-1.67664944649468	7.87957026134124e-10	-1.97349692023646	2.12124885379259e-14	-3.65014636673114
"HNRNPA3"	2.97288715184719	2.1116936278043	3.03255233301825e-16	1.67464656797022	5.54311091318853e-14	3.78634019577452
"GSTO1"	2.95267223762737	0.971867480536951	0.00446208604116925	2.68733893597986	1.39006224838532e-14	3.65920641651681
"MAT2A"	2.95054164960997	-1.32547277892821	1.7068960240245e-07	-2.4020382908534	1.92359160612805e-19	-3.72751106978161
