"AveExpr"	"LogFC_RatL6"	"FDR_RatL6"	"LogFC_HumanCell"	"FDR_HumanCell"	"LogFC_mean"
"TAX1BP1"	2.843980562234	-2.85931337327907	1.3225960852867e-21	-1.97797851812839	2.14251517638544e-13	-4.83729189140746
"GABARAPL2"	2.84183911267481	-1.15946090787911	1.44088440789759e-08	-2.85904245049059	3.97539545291263e-26	-4.01850335836969
"HIBADH"	2.82014827836409	-3.57181570687729	1.49937796368315e-53	-1.21327853849122	2.33768422201476e-20	-4.78509424536852
"VKORC1"	2.80805699646088	-1.56879952447912	2.77826299173159e-12	-1.75638880063926	6.00944549642652e-14	-3.32518832511838
"SSB"	2.78583994403708	-2.55011176369637	4.71880059868981e-10	-3.05088462320394	1.45493529342386e-12	-5.60099638690031
"MTCH2"	2.78157054780008	-1.4566497118434	5.53220120208325e-05	-1.84137286224463	8.7271169123321e-07	-3.29802257408803
"GM7075"	2.77832448780223	-5.03531981690075	1.98076818142775e-24	-2.40147189228278	2.09737226381965e-10	-7.43679170918353
"BOLA2"	2.77437828217872	-2.42783810016136	6.70557741700215e-23	-2.34224157970136	1.55902008737169e-21	-4.77007967986272
"MATR3"	2.77434876889664	-1.95037951912865	3.05617566499422e-09	-1.13649954273433	0.000311863314060815	-3.08687906186299
"KPNA2"	2.76948159698601	-1.51876546844533	3.51054260462205e-05	-2.70333015271361	1.19553723854749e-11	-4.22209562115894
"AC004922.1"	2.76847889095148	-1.48517958777938	4.9399191513335e-12	-1.96490471792792	6.2003496581419e-17	-3.4500843057073
"SNRPB"	2.76219416757915	2.02311009152464	6.84074825060433e-08	2.25219899351344	5.67186162781805e-09	4.27530908503807
"HNRNPL"	2.76068047462174	-3.29479804452756	5.66008930549713e-22	-1.87166844217066	1.82040212566958e-10	-5.16646648669822
"PDHA1"	2.74150811205977	0.893624332239886	1.73500645237857e-08	2.32526920472121	1.35298119791685e-27	3.21889353696109
"HADHB"	2.73283431695541	-2.408665169175	3.69954055509385e-12	-1.91742429748446	1.18440255885966e-08	-4.32608946665946
"ARPC1A"	2.73193829770428	-1.48517958777939	3.3719783695394e-13	-1.86327619295915	2.87803993649092e-17	-3.34845578073853
"KLHDC2"	2.72172878757156	-1.7972992159276	8.71726503290478e-11	-2.19250988366259	8.74091985771529e-14	-3.9898090995902
"GSPT1"	2.7119498857882	-2.28475941023742	2.15767896550518e-12	-1.83207049306352	3.62933051613717e-09	-4.11682990330095
"PTBP1"	2.71045219596757	-1.64988952242185	7.03725959565142e-09	-1.73338841469585	2.40987761736507e-09	-3.3832779371177
"TOMM7"	2.71030195582976	-2.29239545830155	1.52569708725342e-07	-1.00805248881857	0.0222699297819655	-3.30044794712012
"MAPRE1"	2.70344822416159	-2.33666238447687	8.85687499825588e-30	-2.07282125258566	1.9088597277435e-26	-4.40948363706253
"CBX3"	2.70195031707908	-3.27846139907516	4.41592445855994e-30	-1.44990650025625	3.25349580971455e-11	-4.72836789933141
"TCF4"	2.69622451853065	-2.10010313496269	7.34897154989982e-17	-1.45910360767181	3.61990665290903e-10	-3.55920674263449
"SNRPD3"	2.68675172519828	-2.34556624899438	4.77063143265926e-13	-1.55258499702215	3.57860472347808e-07	-3.89815124601654
"ARCN1"	2.68370076298808	-1.88689195077024	1.11635595726634e-15	-2.46738370743286	1.41724019190235e-21	-4.3542756582031
"FRMD6"	2.68368150156471	-1.48640115905316	0.000306013695358098	-1.79472576025628	2.20202276109186e-05	-3.28112691930943
"C1RB"	2.68348257259435	-3.27435622934813	3.15321558533679e-29	-3.06907684987525	4.36092348151684e-27	-6.34343307922338
"CAV3"	2.67632737087341	-2.14735752890115	1.00719626629322e-07	-1.23353562045971	0.00163970649230832	-3.38089314936086
"OLFML3"	2.66672373617449	-3.42283374446731	1.81593874459011e-12	-2.70705439190943	6.57430604964944e-09	-6.12988813637674
"CHRNA1"	2.65415144223788	5.46613941860605	3.2545165793706e-21	1.55904026366329	0.000783244122382921	7.02517968226934
"EIF6"	2.6517711589424	-1.66017816852536	2.14682474089507e-21	-1.39626999920148	1.870342732642e-17	-3.05644816772684
"SLC7A5"	2.64898722511983	3.45548914343273	3.84131688535993e-26	0.874705938207264	0.000323651082354698	4.33019508163999
"PFN2"	2.64516125054652	-3.62300804549034	1.36397709138419e-27	-4.62262074460943	1.43177818307802e-32	-8.24562879009977
"WIPI1"	2.64411847719844	-1.58603855426667	3.78852112553452e-10	-1.8864301360221	1.36739231440477e-12	-3.47246869028877
"GRINA"	2.64057752881337	1.37840555232143	3.45644599172014e-12	2.54824858571037	3.50067796647572e-25	3.9266541380318
"COX6A2"	2.63564721651986	1.7190305538865	5.89169465567049e-09	2.05327021968979	3.24369542076755e-11	3.77230077357629
