"AveExpr"	"LogFC_MouseC2C12"	"FDR_MouseC2C12"	"LogFC_RatL6"	"FDR_RatL6"	"LogFC_mean"
"SNRPD2L"	3.12669406167409	-1.4072836579161	0.00228073672057808	-2.46321569452232	1.71260835387991e-08	-3.87049935243842
"SNRPD2"	3.116580651848	-1.4072836579161	0.00220274259262127	-2.33578437894124	3.41340669545871e-08	-3.74306803685734
"CAP1"	3.11492093951325	2.22716384678439	4.55600178760234e-10	1.79495940715784	5.4904811622912e-09	4.02212325394223
"MACF1"	3.11180411354173	-2.39428458306927	1.29316450374282e-19	-2.15493574856215	2.2699101161538e-20	-4.54922033163142
"CANX"	3.11059675035749	3.6031136331005	4.21211862013049e-15	0.784537089081523	0.0247621977315276	4.38765072218202
"SEPT9"	3.10825847741743	-1.40842926004949	4.9326673555032e-14	-1.45829042421276	5.92325290098169e-17	-2.86671968426225
"SEC61G"	3.10266422238136	-1.04748937193117	0.0290321386596789	-2.73782442819204	1.27621288394127e-09	-3.78531380012321
"VAT1"	3.10260255148185	1.80945018222239	5.46193661475432e-14	1.34286079604679	2.79185214128422e-13	3.15231097826919
"TCEAL9"	3.09604848344422	-2.44729065348401	1.70219962434167e-12	-2.77250799297705	1.66369706108109e-17	-5.21979864646106
"AABR07026654.1"	3.0777234182153	-2.32526920472121	1.4420586490477e-27	-2.33522350777431	5.23805957541925e-31	-4.66049271249552
"PCNA-PS2"	3.07085191111308	-2.42429542160218	2.23425205973995e-13	-3.53078191024244	3.1270212650751e-26	-5.95507733184462
"MTPN"	3.06977787281971	1.90233176566726	1.94510842072085e-09	2.64379468691605	1.60866578132165e-17	4.54612645258331
"AABR07025295.1"	3.05840770860504	2.96490687396494	2.94494797974475e-21	2.8334870824232	5.58086764735784e-26	5.79839395638814
"PALLD"	3.05840770860504	2.96490687396494	2.94494797974475e-21	2.8334870824232	5.58086764735784e-26	5.79839395638814
"TECR"	3.05797914782733	-2.79339312447006	1.24511947888168e-08	-1.47182850849719	6.45166617009175e-05	-4.26522163296725
"PCNA"	3.0559815358524	-2.28103547807142	1.15148278058499e-13	-3.53078191024244	6.19698345406012e-27	-5.81181738831386
"SPP1"	3.04796858314452	-7.1852767498756	8.39572378315032e-43	-6.42886657264621	8.46696891505236e-44	-13.6141433225218
"OXA1L"	3.04718162854194	3.43253703470965	2.41574689446168e-17	1.48615454233047	4.38782507928879e-08	4.91869157704012
"VCAN"	3.03646123165408	1.81215418701317	4.53021020708055e-06	1.41949663180806	3.30417392901293e-05	3.23165081882123
"AABR07036855.1"	3.03456212655292	-2.10613526638178	4.06442949586498e-29	-2.50943002577356	5.61891047527803e-41	-4.61556529215534
"PAICS"	3.03456212655292	-2.10613526638178	4.06442949586498e-29	-2.50943002577356	5.61891047527803e-41	-4.61556529215534
"SLIRP"	3.02960667579136	2.27283172364649	4.69786539804308e-17	2.10623255199217	6.94115161693976e-18	4.37906427563866
"DYNLRB1"	3.01740019537198	-1.92836743573504	4.57105404558459e-18	-2.18803718244745	1.77540631546961e-24	-4.11640461818249
